Rk,Player,Age,Tm,Pos,GP,GC,G/GP,A/GP,PTS/GP,GC/GP,PIM/GP,S/GP,Adj G,Adj A,Adj PTS,Adj GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,PlayerID
1,A.J. Greer,22,COL,LW,15,1,0.07,0.07,0.13,0.05,0.93,0.6,1,1,2,1,2,0,4,0,-2,3.1,3.7,-0.6,0,0,0.1,0,,,,greeraj01
2,Aaron Dell,29,SJS,G,25,0,0,0,0,0,0,0,0,0,0,0,77,21,70,17,0,49.4,43.6,,0,0,1.9,0,,,,dellaa01
3,Aaron Ekblad,22,FLA,D,82,13,0.16,0.29,0.45,0.16,0.57,2.2,13,24,37,14,113,17,119,24,1,68.9,69.5,-0.6,2.6,4.2,6.8,0,,,,ekblaaa01
4,Adam Clendening,26,CBJ,D,4,0,0,0,0,0,0,0.75,0,0,0,0,2,0,2,1,1,1.6,2.5,-0.9,-0.1,0.2,0.1,0,,,,clendad01
5,Adam Cracknell,33,ANA,RW,2,0,0,0,0,0,0,1.5,0,0,0,0,0,0,1,0,-1,0.5,1.3,-0.8,-0.1,0,-0.1,0,,,,crackad01
6,Adam Erne,23,TBL,LW,65,7,0.11,0.2,0.31,0.11,0.62,1.08,7,13,20,7,34,4,21,1,10,23.5,24.5,-1,0.8,1,1.7,0,,,,ernead01
7,Adam Gaudette,22,VAN,C,56,5,0.09,0.13,0.21,0.08,0.32,0.98,5,7,12,5,24,7,25,0,-8,16.3,24.8,-8.5,0,0.5,0.5,0,,,,gaudead01
8,Adam Henrique,28,ANA,C,82,16,0.22,0.29,0.51,0.2,0.29,1.49,18,24,42,16,68,23,60,10,-5,40.6,42.3,-1.7,2.3,1.6,4,0,,,,henriad01
9,Adam Johnson,24,PIT,C,6,1,0,0.33,0.33,0.09,0,0.5,0,2,2,1,3,0,1,0,2,2,1.4,0.6,0.1,0.1,0.2,0,,,,johnsad01
10,Adam Larsson,26,EDM,D,82,6,0.04,0.21,0.24,0.08,0.54,1.43,3,17,20,6,54,1,107,26,-28,61.3,68.4,-7.1,0.2,1.7,1.8,0,,,,larssad01
11,Adam Lowry,25,WPG,LW,78,9,0.15,0.14,0.29,0.12,0.42,1.35,12,11,23,10,38,0,49,17,6,33.5,34.8,-1.3,0.3,1.4,1.8,0,,,,lowryad01
12,Adam McQuaid,32,TOT,D,50,3,0.06,0.08,0.14,0.05,0.84,0.56,3,4,7,3,30,0,38,10,2,25.7,28.9,-3.1,0.1,1.8,1.9,0,,,,mcquaad01
