Rk,Player,Tm,Pos,Shift,GP,,TOI (EV),CF% Rel (EV),GF/60 (EV),GA/60 (EV),,TOI (PP),CF% Rel (PP),GF/60 (PP),GA/60 (PP),,TOI (SH),CF% Rel (SH),GF/60 (SH),GA/60 (SH),PlayerID
1,A.J. Greer,COL,LW,0:37,17,,7:13,-4.3,2,1,,0:09,-11.5,0,0,,0:00,,,,greeraj01
2,Aaron Ekblad,FLA,D,0:37,82,,19:01,-0.5,3.3,3.2,,2:07,-0.7,7.3,0.3,,2:14,-0.7,2.3,6.6,ekblaaa01
3,Aaron Ness,WSH,D,0:26,8,,11:52,-4.4,3.8,2.5,,0:00,,,,,0:49,9.9,0,9.2,nessaa01
4,Adam Clendening,ARI,D,0:47,5,,15:27,-4.8,3.1,3.9,,0:20,-37,0,0,,0:07,-14.8,0,92.3,clendad01
5,Adam Cracknell,TOT,RW,0:28,5,,6:46,-1.8,0,0,,0:00,,,,,0:56,,,,crackad01
6,Adam Erne,TBL,LW,0:34,23,,10:01,1.1,2.3,2.6,,0:04,-88.4,0,0,,0:01,,,,ernead01
7,Adam Gaudette,VAN,C,0:43,5,,12:02,0.9,2,0,,0:44,-9.9,0,0,,0:00,,,,gaudead01
8,Adam Henrique,TOT,C,0:34,81,,13:41,-0.3,3.2,1.8,,2:31,4.9,7.7,1.2,,1:34,9.8,2.1,2.1,henriad01
9,Adam Larsson,EDM,D,0:46,63,,19:27,-0.8,2.9,2.6,,0:04,-11.1,0,0,,2:23,-2.8,0.8,6.4,larssad01
10,Adam Lowry,WPG,LW,0:43,45,,12:04,4.8,2.7,1.9,,0:46,7.1,6.9,0,,2:02,9.1,1.3,6.5,lowryad01
11,Adam McQuaid,BOS,D,0:33,38,,13:35,-4.6,2,2.3,,0:01,,,,,2:05,-4.7,0.8,3,mcquaad01
12,Adam Pelech,NYI,D,0:52,78,,16:41,0.8,2.9,2.6,,0:19,-3,7.3,0,,2:15,-2.7,0.7,10.2,pelecad01
13,Adrian Kempe,LAK,LW,0:47,81,,12:08,-2.7,2.7,1.9,,1:06,-5.5,5.4,1.3,,0:04,18.3,0,5.7,kempead01
14,Alan Quine,NYI,C,0:36,21,,11:19,-8.9,2.1,2.6,,0:05,18.1,0,0,,0:19,-5.2,0,0,quineal01
15,Alec Martinez,LAK,D,0:35,77,,18:32,-5.6,2.5,2.4,,1:56,0,8.1,1.2,,2:22,3.3,0.6,5.8,martial01
16,Aleksander Barkov,FLA,C,0:43,79,,16:56,3.5,3.6,3.3,,3:22,-0.1,6.7,0.6,,1:45,1.7,2.2,3,barkoal01
17,Aleš Hemský,MTL,RW,0:51,7,,7:19,-3.2,0,1.2,,2:34,7.9,3.3,0,,0:01,-16.7,0,22.5,hemskal01
18,Alex Biega,VAN,D,0:38,44,,14:11,3.1,1.8,1.7,,0:02,16.2,0,0,,0:47,8.7,3.4,5.1,biegaal01
19,Alex Broadhurst,CBJ,C,0:26,2,,9:37,12.3,0,0,,0:25,13.3,0,0,,0:00,,,,broadal01
20,Alex Chiasson,WSH,RW,0:39,61,,9:28,-4.6,2.8,3,,0:37,-2.2,1.6,0,,1:39,1.8,1.8,9.5,chiasal01
21,Alex DeBrincat,CHI,RW,0:39,82,,12:36,2.2,3.4,2.9,,2:02,-4.3,6.1,1.4,,0:08,0,0,4.9,debrial01
22,Alex Formenton,OTT,LW,0:35,1,,4:54,-11.6,0,0,,0:00,,,,,0:00,,,,formeal01
23,Alex Galchenyuk,MTL,C,0:53,82,,13:16,-1.5,1.7,3.1,,2:55,-1.1,8.8,1.2,,0:01,-10.4,0,0,galchal01
24,Alex Goligoski,ARI,D,0:37,78,,19:25,-2.7,2,3.2,,1:56,-4.7,5.4,1.6,,1:55,0.9,0.8,6.2,goligal01
25,Alex Iafallo,LAK,C,0:32,75,,14:11,3,2.7,2.1,,0:32,0.3,8.8,0,,0:21,-5.6,0,7.9,iafalal01
26,Alex Killorn,TBL,C/LW,0:37,82,,11:57,4,3.7,2.4,,2:51,2.8,9.1,0.3,,1:41,-1.1,0.4,6.5,killoal01
27,Alex Ovechkin,WSH,LW,0:54,82,,15:55,5,3.5,3.1,,4:11,8.4,9.2,1.2,,0:01,52.7,0,0,ovechal01
28,Alex Pietrangelo,STL,D,1:04,78,,20:21,-0.3,2.9,2.5,,3:02,-3,4.8,1.8,,2:19,-1.8,1.3,8.2,pietral01
29,Alex Tuch,VEG,RW,0:46,78,,12:52,0.8,2.5,2.3,,2:19,7.6,7.2,0,,0:02,-2.3,0,3.8,tuchal01
30,Alexander Burmistrov,VAN,C,0:36,24,,10:38,-2,1.4,2.6,,0:37,9,11.9,0,,0:42,-13.8,0,14.4,burmial01
31,Alexander Edler,VAN,D,0:46,70,,18:47,-1,2.3,3,,2:48,2,9.1,0.9,,2:40,-5.1,0,10,edleral01
32,Alexander Kerfoot,COL,C,0:50,79,,10:57,1.3,2.6,2.5,,2:28,-0.2,6.9,2.1,,0:00,-8.6,0,171.4,kerfoal01
33,Alexander Nylander,BUF,LW,0:52,3,,12:12,-0.3,1.6,6.6,,0:39,8.7,0,0,,0:00,,,,nylanal01
34,Alexander Petrovic,FLA,D,0:35,67,,14:13,1.9,2.1,2.3,,0:01,12.1,0,0,,0:24,12.2,2.2,6.5,petroal01
35,Alexander Radulov,DAL,RW,0:37,82,,16:46,2.9,3.3,2.7,,3:19,-0.9,7.7,1.8,,0:01,21.5,0,0,radulal01
36,Alexander Steen,STL,C,0:43,76,,14:32,2,2.9,3.2,,2:55,-0.8,7,1.6,,1:13,-3.4,0.6,6.4,steenal01
37,Alexander Wennberg,CBJ,C,0:44,66,,14:32,2.6,3.9,2.5,,2:34,6.7,6.7,1.1,,1:01,5.2,1.7,5.8,wennbal01
38,Alexandre Burrows,OTT,LW,0:42,71,,9:30,-1.1,1.6,2.2,,1:23,-1.1,5.5,1.2,,0:47,1.1,0,9.1,burroal01
39,Alexei Emelin,NSH,D,0:33,76,,15:12,-6.9,2,1.7,,0:02,11.3,0,0,,1:37,3.5,1,8.7,emelial01
40,Anders Bjork,BOS,LW,0:59,30,,11:21,0.5,2.8,2.3,,0:59,-1.3,9,1.8,,0:00,,,,bjorkan01
41,Anders Lee,NYI,LW,0:45,82,,14:11,0.6,3.2,4.1,,3:03,6.1,10.1,1.7,,0:00,22.8,0,5.8,leean01
42,André Burakovsky,WSH,LW,0:40,56,,12:37,5.4,2.6,2.2,,1:12,-10.4,4.5,1.8,,0:00,,,,burakan01
43,Andreas Athanasiou,DET,C,0:40,71,,13:12,0.7,2.4,3.3,,1:44,-4.9,5.4,0.5,,0:22,-1.4,0,13.4,athanan01
44,Andreas Borgman,TOR,D,0:31,48,,13:27,0.1,3.1,2.7,,0:01,15.7,0,0,,0:11,7.1,0,12.8,borgman01
45,Andreas Englund,OTT,D,0:43,1,,10:54,-10,5.5,0,,0:00,,,,,0:27,-22.2,0,0,engluan01
46,Andreas Johnsson,TOR,LW,0:38,9,,9:41,5.9,2.1,3.4,,1:17,2.2,20.7,0,,0:42,9,0,0,johnsan01
47,Andreas Martinsen,CHI,LW,0:57,9,,12:12,4.2,1.6,1.6,,0:00,,,,,0:25,11.2,0,15.5,martian01
48,Andrei Mironov,COL,D,0:25,10,,9:37,-5,2.6,1.3,,0:00,,,,,1:25,-12,0,8.5,mironan01
49,Andrej Sekera,EDM,D,0:39,36,,14:04,1.2,1.3,3.4,,0:58,1.1,5.1,0,,1:16,11.6,2.6,5.2,sekeran01
50,Andrej Šustr,TBL,D,0:35,44,,12:19,1.4,2.3,2.9,,0:03,-90.9,0,0,,0:27,-1.8,0,8.9,sustran01
51,Andrew Cogliano,ANA,LW/C,0:42,80,,13:22,0.6,2.4,1.8,,0:06,-40.1,0,0,,1:42,10.5,2.6,5.2,coglian01
52,Andrew Copp,WPG,C,0:35,82,,11:42,1.9,2.6,1.9,,0:05,-7,0,0,,1:56,3.6,1.5,5.3,coppan01
53,Andrew Crescenzi,LAK,C,0:26,2,,6:36,-34.4,0,0,,0:00,,,,,1:15,-23.1,0,24,crescan01
54,Andrew Ladd,NYI,LW,0:36,73,,12:54,5,2.9,2,,1:44,-8,4.3,1.9,,1:14,1.4,1.3,13.3,laddan01
55,Andrew MacDonald,PHI,D,0:38,66,,17:55,-4.5,2.6,2.3,,0:08,-29.2,6.2,0,,1:47,-1.4,0.9,7.4,macdoan01
56,Andrew Mangiapane,CGY,LW,0:30,10,,8:46,-2.5,0,2,,0:01,,0,0,,0:08,,,,mangian01
57,Andrew Shaw,MTL,C,0:54,51,,13:21,0.8,2.2,2.8,,2:19,-2.1,7.1,0.5,,0:07,0.8,0,20.4,shawan01
58,Andy Andreoff,LAK,LW,0:43,45,,9:19,-4.4,1.6,2.4,,0:02,12.1,0,0,,0:01,,0,0,andrean01
59,Andy Greene,NJD,D,0:35,81,,17:49,-6.2,2.3,2.9,,0:04,-25.6,6,0,,3:13,-3.9,1.3,6.2,greenan01
60,Andy Welinski,ANA,D,0:58,7,,14:39,-14.3,1.2,1.8,,1:02,-16.9,0,0,,0:28,27.7,0,0,welinan01
61,Anthony Beauvillier,NYI,LW,0:32,71,,12:49,2.3,3.4,3.2,,0:56,-2.1,10,0.9,,0:45,-1.3,0,9.6,beauvan01
62,Anthony Bitetto,NSH,D,0:40,32,,13:12,-6.3,2,2,,0:04,9,27.3,0,,0:10,-2.9,0,0,bitetan01
63,Anthony Cirelli,TBL,C,0:32,18,,11:47,1.8,4,1.1,,0:00,8.9,0,0,,1:26,-0.9,2.3,4.6,cirelan01
64,Anthony Duclair,TOT,LW,0:33,56,,11:33,3.1,2.1,2.9,,1:42,-3.2,7.6,0,,0:01,-12.6,0,0,duclaan01
65,Anthony Mantha,DET,RW,0:41,80,,15:03,4.1,2.5,2.4,,2:12,-0.4,6.8,1.4,,0:01,-14.4,0,38.7,manthan01
66,Anthony Peluso,WSH,RW,0:15,2,,4:38,0.7,0,0,,0:00,,,,,0:00,,,,pelusan01
67,Antoine Roussel,DAL,LW,0:28,73,,11:22,1.5,2,2,,0:04,-0.2,0,0,,0:58,3.7,0,4.1,roussan01
68,Antoine Vermette,ANA,C,0:34,64,,11:46,-2.9,2.1,2.6,,1:12,-2.8,4.3,0.7,,0:46,-6.4,1.2,6.1,vermean01
69,Anton Blidh,BOS,LW,0:34,1,,10:23,-10.3,0,0,,0:00,,,,,0:00,,,,blidhan01
70,Anton Lindholm,COL,D,0:33,48,,11:33,-2.8,2.4,2.1,,0:01,,0,0,,1:35,4,0.8,6.3,lindhan01
71,Anton Slepyshev,EDM,LW,0:40,50,,11:37,1.9,2.3,2.6,,0:07,-6.4,0,0,,0:03,-15.4,0,0,slepyan01
72,Anton Strålman,TBL,D,0:45,80,,18:20,-0.1,3.5,2.6,,0:25,-14.6,0,0,,2:44,-4.7,1.4,7.2,stralan01
73,Anže Kopitar,LAK,C,0:34,82,,17:01,4.6,3.4,2.6,,2:53,4.1,8.7,0.5,,2:10,-0.3,0.7,4,kopitan01
74,Artem Anisimov,CHI,C,0:45,72,,12:36,-3.3,2.2,3.2,,2:43,0.2,5.8,0.9,,1:27,1.8,0.6,8,anisiar01
75,Artemi Panarin,CBJ,LW,0:43,81,,17:09,8.6,3.2,2,,2:56,7.1,7.3,1,,0:01,35.5,0,12,panarar01
76,Artturi Lehkonen,MTL,LW,0:32,66,,13:01,1.9,1.8,2.5,,1:56,1.3,5.4,0.9,,1:31,-5.6,0.6,9.6,lehkoar01
77,Ashton Sautner,VAN,D,0:41,5,,13:21,3.1,4.5,0.9,,0:00,,,,,0:00,,,,sautnas01
78,Austin Czarnik,BOS,C,0:41,10,,9:53,2.8,1.8,2.4,,0:30,-19.1,12,0,,0:31,-0.2,0,0,czarnau01
79,Austin Watson,NSH,LW,0:32,76,,10:04,-6.1,2,2.3,,0:01,-39.2,0,0,,2:13,0.5,2.1,7.8,watsoau01
80,Auston Matthews,TOR,C,0:46,62,,15:57,1.3,4.1,2.6,,2:08,0.1,6.9,0.4,,0:01,49.5,0,0,matthau01
81,Barclay Goodrow,SJS,RW,0:25,47,,9:50,1.3,3.1,3.2,,0:10,13.6,14.9,0,,0:51,2.1,1.5,3,goodrba01
82,Beau Bennett,STL,RW,0:48,6,,10:00,1,0,2,,0:48,8.8,0,0,,0:00,,,,bennebe01
83,Ben Chiarot,WPG,D,0:55,57,,13:54,-3.3,2.9,1.9,,0:03,-54.4,0,0,,1:19,-3.9,1.6,7.2,chiarbe01
84,Ben Harpur,OTT,D,0:41,41,,13:08,-3.8,1.2,3.6,,0:00,13.1,0,0,,1:43,12.6,0,8.5,harpube01
85,Ben Hutton,VAN,D,0:35,61,,15:51,2.2,1.7,2.4,,0:57,3.2,6,1,,1:35,5.3,1.9,6.8,huttobe01
86,Ben Lovejoy,NJD,D,0:29,57,,13:32,4,2.3,2,,0:02,-17.7,0,0,,2:59,-3.1,1,5.8,lovejbe01
87,Ben Sexton,OTT,C,0:42,2,,10:16,15.4,0,2.9,,0:00,,,,,0:00,,,,sextobe01
88,Benoît Pouliot,BUF,LW,0:41,74,,11:22,-1.4,1.8,2.6,,0:38,-13.5,2.5,0,,1:40,-0.5,1.9,7.8,poulibe01
89,Blake Coleman,NJD,C,0:41,79,,12:09,0.1,2.4,2.3,,0:05,-23.6,0,0,,2:08,3.3,2.1,6.5,colembl01
90,Blake Comeau,COL,RW,0:33,79,,13:16,-1.4,2.5,2.4,,0:04,-20,0,6.1,,2:31,1.6,0.9,5.1,comeabl01
91,Blake Hillman,CHI,D,0:47,4,,16:24,-6.5,0,1.8,,0:01,,0,0,,1:36,1.7,9.4,0,hillmbl01
92,Blake Pietila,NJD,LW,0:44,2,,9:27,0.1,0,0,,0:00,,,,,0:00,,,,pietibl01
93,Blake Wheeler,WPG,RW,0:44,81,,15:50,-1.7,3.2,2.4,,3:08,-1.3,10.8,1.4,,1:16,1.7,1.2,5.8,wheelbl01
94,Bo Horvat,VAN,C,0:40,64,,15:04,1.8,3.2,3,,2:41,8.5,8,1.4,,1:34,-1.8,0.6,6.5,horvabo01
95,Bobby Ryan,OTT,LW,0:45,62,,13:43,3.2,2.8,3.6,,2:42,1.7,3.5,1.1,,0:00,-17.3,0,0,ryanbo01
96,Boo Nieves,NYR,C,0:40,28,,9:42,-2.2,3.1,1.8,,0:02,11.4,63.2,0,,0:27,-1.5,0,4.6,nievecr01
97,Boone Jenner,CBJ,C,0:46,75,,14:13,-6.2,2.5,2.3,,1:19,-0.6,3.6,1.8,,0:54,-2.5,0,10.7,jennebo01
